ball_x,ball_y,ball_dx,ball_dy,paddle1_y,paddle2_y,paddle1_action,paddle2_action,score1,score2
405,295,5,-5,250,250,0,0,0,0
410,290,5,-5,250,243,0,-1,0,0
415,285,5,-5,250,236,0,-1,0,0
420,280,5,-5,250,229,0,-1,0,0
425,275,5,-5,250,236,0,1,0,0
430,270,5,-5,250,229,0,-1,0,0
435,265,5,-5,250,222,0,-1,0,0
440,260,5,-5,250,215,0,-1,0,0
445,255,5,-5,250,208,0,-1,0,0
450,250,5,-5,250,201,0,-1,0,0
455,245,5,-5,250,194,0,-1,0,0
460,240,5,-5,250,201,0,1,0,0
465,235,5,-5,250,194,0,-1,0,0
470,230,5,-5,250,187,0,-1,0,0
475,225,5,-5,250,180,0,-1,0,0
480,220,5,-5,250,173,0,-1,0,0
485,215,5,-5,250,166,0,-1,0,0
490,210,5,-5,250,166,0,0,0,0
495,205,5,-5,250,159,0,-1,0,0
500,200,5,-5,250,159,0,0,0,0
505,195,5,-5,250,152,0,-1,0,0
510,190,5,-5,250,145,0,-1,0,0
515,185,5,-5,250,138,0,-1,0,0
520,180,5,-5,250,131,0,-1,0,0
525,175,5,-5,250,124,0,-1,0,0
530,170,5,-5,250,131,0,1,0,0
535,165,5,-5,250,124,0,-1,0,0
540,160,5,-5,250,117,0,-1,0,0
545,155,5,-5,250,110,0,-1,0,0
550,150,5,-5,240,103,-1,-1,0,0
555,145,5,-5,230,96,-1,-1,0,0
560,140,5,-5,220,89,-1,-1,0,0
565,135,5,-5,210,96,-1,1,0,0
570,130,5,-5,200,89,-1,-1,0,0
575,125,5,-5,190,82,-1,-1,0,0
580,120,5,-5,180,75,-1,-1,0,0
585,115,5,-5,170,68,-1,-1,0,0
590,110,5,-5,160,61,-1,-1,0,0
595,105,5,-5,150,54,-1,-1,0,0
600,100,5,-5,140,61,-1,1,0,0
605,95,5,-5,130,54,-1,-1,0,0
610,90,5,-5,120,47,-1,-1,0,0
615,85,5,-5,110,40,-1,-1,0,0
620,80,5,-5,100,33,-1,-1,0,0
625,75,5,-5,90,26,-1,-1,0,0
630,70,5,-5,80,19,-1,-1,0,0
635,65,5,-5,70,26,-1,1,0,0
640,60,5,-5,60,19,-1,-1,0,0
645,55,5,-5,60,12,0,-1,0,0
650,50,5,-5,60,5,0,-1,0,0
655,45,5,-5,60,-2,0,-1,0,0
660,40,5,-5,60,-9,0,-1,0,0
665,35,5,-5,60,-16,0,-1,0,0
670,30,5,-5,60,-9,0,1,0,0
675,25,5,-5,60,-16,0,-1,0,0
680,20,5,-5,60,-23,0,-1,0,0
685,15,5,-5,60,-30,0,-1,0,0
690,10,5,5,60,-37,0,-1,0,0
695,15,5,5,60,-44,0,-1,0,0
700,20,5,5,60,-37,0,1,0,0
705,25,5,5,70,-30,1,1,0,0
710,30,5,5,80,-23,1,1,0,0
715,35,5,5,90,-16,1,1,0,0
720,40,5,5,100,-9,1,1,0,0
725,45,5,5,110,-16,1,-1,0,0
730,50,5,5,120,-9,1,1,0,0
735,55,5,5,130,-9,1,0,0,0
740,60,5,5,140,-2,1,1,0,0
745,65,5,5,150,5,1,1,0,0
750,70,5,5,160,12,1,1,0,0
755,75,5,5,170,19,1,1,0,0
760,80,5,5,180,26,1,1,0,0
765,85,5,5,190,33,1,1,0,0
770,90,5,5,200,40,1,1,0,0
775,95,5,5,210,40,1,0,0,0
780,100,-5,5,220,47,1,1,0,0
775,105,-5,5,230,47,1,0,0,0
770,110,-5,5,240,47,1,0,0,0
765,115,-5,5,250,47,1,0,0,0
760,120,-5,5,260,47,1,0,0,0
755,125,-5,5,270,47,1,0,0,0
750,130,-5,5,280,47,1,0,0,0
745,135,-5,5,290,47,1,0,0,0
740,140,-5,5,300,47,1,0,0,0
735,145,-5,5,300,47,0,0,0,0
730,150,-5,5,300,47,0,0,0,0
725,155,-5,5,300,47,0,0,0,0
720,160,-5,5,300,47,0,0,0,0
715,165,-5,5,300,47,0,0,0,0
710,170,-5,5,300,47,0,0,0,0
705,175,-5,5,300,47,0,0,0,0
700,180,-5,5,300,47,0,0,0,0
695,185,-5,5,300,47,0,0,0,0
690,190,-5,5,300,47,0,0,0,0
685,195,-5,5,300,47,0,0,0,0
680,200,-5,5,300,47,0,0,0,0
675,205,-5,5,300,47,0,0,0,0
670,210,-5,5,300,47,0,0,0,0
665,215,-5,5,300,47,0,0,0,0
660,220,-5,5,300,47,0,0,0,0
655,225,-5,5,300,47,0,0,0,0
650,230,-5,5,300,47,0,0,0,0
645,235,-5,5,300,47,0,0,0,0
640,240,-5,5,300,47,0,0,0,0
635,245,-5,5,300,47,0,0,0,0
630,250,-5,5,300,47,0,0,0,0
625,255,-5,5,300,47,0,0,0,0
620,260,-5,5,300,47,0,0,0,0
615,265,-5,5,300,47,0,0,0,0
610,270,-5,5,300,47,0,0,0,0
605,275,-5,5,300,47,0,0,0,0
600,280,-5,5,300,47,0,0,0,0
595,285,-5,5,300,47,0,0,0,0
590,290,-5,5,300,47,0,0,0,0
585,295,-5,5,300,47,0,0,0,0
580,300,-5,5,300,47,0,0,0,0
575,305,-5,5,310,47,1,0,0,0
570,310,-5,5,320,47,1,0,0,0
565,315,-5,5,330,47,1,0,0,0
560,320,-5,5,340,47,1,0,0,0
555,325,-5,5,350,47,1,0,0,0
550,330,-5,5,360,47,1,0,0,0
545,335,-5,5,370,47,1,0,0,0
540,340,-5,5,380,47,1,0,0,0
535,345,-5,5,390,47,1,0,0,0
530,350,-5,5,400,47,1,0,0,0
525,355,-5,5,410,47,1,0,0,0
520,360,-5,5,420,47,1,0,0,0
515,365,-5,5,430,47,1,0,0,0
510,370,-5,5,440,47,1,0,0,0
505,375,-5,5,450,47,1,0,0,0
500,380,-5,5,460,47,1,0,0,0
495,385,-5,5,470,47,1,0,0,0
490,390,-5,5,480,47,1,0,0,0
485,395,-5,5,490,47,1,0,0,0
480,400,-5,5,500,47,1,0,0,0
475,405,-5,5,500,47,0,0,0,0
470,410,-5,5,500,47,0,0,0,0
465,415,-5,5,500,47,0,0,0,0
460,420,-5,5,500,47,0,0,0,0
455,425,-5,5,500,47,0,0,0,0
450,430,-5,5,500,47,0,0,0,0
445,435,-5,5,500,47,0,0,0,0
440,440,-5,5,500,47,0,0,0,0
435,445,-5,5,500,47,0,0,0,0
430,450,-5,5,500,47,0,0,0,0
425,455,-5,5,500,47,0,0,0,0
420,460,-5,5,500,47,0,0,0,0
415,465,-5,5,500,47,0,0,0,0
410,470,-5,5,500,47,0,0,0,0
405,475,-5,5,500,47,0,0,0,0
400,480,-5,5,500,47,0,0,0,0
395,485,-5,5,500,47,0,0,0,0
390,490,-5,5,490,47,-1,0,0,0
385,495,-5,5,480,47,-1,0,0,0
380,500,-5,5,470,47,-1,0,0,0
375,505,-5,5,460,47,-1,0,0,0
370,510,-5,5,450,47,-1,0,0,0
365,515,-5,5,440,47,-1,0,0,0
360,520,-5,5,430,47,-1,0,0,0
355,525,-5,5,420,47,-1,0,0,0
350,530,-5,5,410,47,-1,0,0,0
345,535,-5,5,410,47,0,0,0,0
340,540,-5,5,410,47,0,0,0,0
335,545,-5,5,410,47,0,0,0,0
330,550,-5,5,410,47,0,0,0,0
325,555,-5,5,410,47,0,0,0,0
320,560,-5,5,410,47,0,0,0,0
315,565,-5,5,410,47,0,0,0,0
310,570,-5,5,410,47,0,0,0,0
305,575,-5,5,410,47,0,0,0,0
300,580,-5,5,410,47,0,0,0,0
295,585,-5,5,410,47,0,0,0,0
290,590,-5,-5,410,47,0,0,0,0
285,585,-5,-5,410,47,0,0,0,0
280,580,-5,-5,410,47,0,0,0,0
275,575,-5,-5,410,47,0,0,0,0
270,570,-5,-5,410,47,0,0,0,0
265,565,-5,-5,410,47,0,0,0,0
260,560,-5,-5,410,47,0,0,0,0
255,555,-5,-5,410,47,0,0,0,0
250,550,-5,-5,410,47,0,0,0,0
245,545,-5,-5,410,47,0,0,0,0
240,540,-5,-5,410,47,0,0,0,0
235,535,-5,-5,410,47,0,0,0,0
230,530,-5,-5,410,47,0,0,0,0
225,525,-5,-5,410,47,0,0,0,0
220,520,-5,-5,410,47,0,0,0,0
215,515,-5,-5,410,47,0,0,0,0
210,510,-5,-5,410,47,0,0,0,0
205,505,-5,-5,410,47,0,0,0,0
200,500,-5,-5,410,47,0,0,0,0
195,495,-5,-5,410,47,0,0,0,0
190,490,-5,-5,410,47,0,0,0,0
185,485,-5,-5,410,47,0,0,0,0
180,480,-5,-5,410,47,0,0,0,0
175,475,-5,-5,400,47,-1,0,0,0
170,470,-5,-5,390,47,-1,0,0,0
165,465,-5,-5,380,47,-1,0,0,0
160,460,-5,-5,370,47,-1,0,0,0
155,455,-5,-5,360,47,-1,0,0,0
150,450,-5,-5,350,47,-1,0,0,0
145,445,-5,-5,340,47,-1,0,0,0
140,440,-5,-5,330,47,-1,0,0,0
135,435,-5,-5,320,47,-1,0,0,0
130,430,-5,-5,310,47,-1,0,0,0
125,425,-5,-5,300,47,-1,0,0,0
120,420,-5,-5,290,47,-1,0,0,0
115,415,-5,-5,280,47,-1,0,0,0
110,410,-5,-5,270,47,-1,0,0,0
105,405,-5,-5,260,47,-1,0,0,0
100,400,-5,-5,250,47,-1,0,0,0
95,395,-5,-5,240,47,-1,0,0,0
90,390,-5,-5,230,47,-1,0,0,0
85,385,-5,-5,230,47,0,0,0,0
80,380,-5,-5,230,47,0,0,0,0
75,375,-5,-5,230,47,0,0,0,0
70,370,-5,-5,230,47,0,0,0,0
65,365,-5,-5,230,47,0,0,0,0
60,360,-5,-5,230,47,0,0,0,0
55,355,-5,-5,230,47,0,0,0,0
50,350,-5,-5,230,47,0,0,0,0
45,345,-5,-5,230,47,0,0,0,0
40,340,-5,-5,230,47,0,0,0,0
35,335,-5,-5,230,47,0,0,0,0
30,330,-5,-5,230,47,0,0,0,0
25,325,-5,-5,230,47,0,0,0,0
20,320,5,-5,230,47,0,0,0,0
25,315,5,-5,230,54,0,1,0,0
30,310,5,-5,230,61,0,1,0,0
35,305,5,-5,230,68,0,1,0,0
40,300,5,-5,230,75,0,1,0,0
45,295,5,-5,240,82,1,1,0,0
